,Team,Wins,Losses,Win %,Points Per Game,Opp. Points Per Game,Season Year
0,Miami Heat,52,30,0.634,94.4,91.3,1999-2000
1,New York Knicks,50,32,0.61,92.1,90.7,1999-2000
2,Philadelphia 76ers,49,33,0.598,94.8,93.4,1999-2000
3,Orlando Magic,41,41,0.5,100.1,99.4,1999-2000
4,Boston Celtics,35,47,0.427,99.3,100.1,1999-2000
5,New Jersey Nets,31,51,0.378,98.0,99.0,1999-2000
6,Washington Wizards,29,53,0.354,96.6,99.9,1999-2000
7,Indiana Pacers,56,26,0.683,101.3,96.7,1999-2000
8,Charlotte Hornets,49,33,0.598,98.4,95.8,1999-2000
9,Toronto Raptors,45,37,0.549,97.2,97.3,1999-2000
10,Detroit Pistons,42,40,0.512,103.5,102.0,1999-2000
11,Milwaukee Bucks,42,40,0.512,101.2,101.0,1999-2000
12,Cleveland Cavaliers,32,50,0.39,97.0,100.5,1999-2000
13,Atlanta Hawks,28,54,0.341,94.3,99.7,1999-2000
14,Chicago Bulls,17,65,0.207,84.8,94.2,1999-2000
15,Utah Jazz,55,27,0.671,96.5,92.0,1999-2000
16,San Antonio Spurs,53,29,0.646,96.2,90.2,1999-2000
17,Minnesota Timberwolves,50,32,0.61,98.5,96.0,1999-2000
18,Dallas Mavericks,40,42,0.488,101.4,102.0,1999-2000
19,Denver Nuggets,35,47,0.427,99.0,101.1,1999-2000
20,Houston Rockets,34,48,0.415,99.5,100.3,1999-2000
21,Vancouver Grizzlies,22,60,0.268,93.9,99.5,1999-2000
22,Los Angeles Lakers,67,15,0.817,100.8,92.3,1999-2000
23,Portland Trail Blazers,59,23,0.72,97.5,91.0,1999-2000
24,Phoenix Suns,53,29,0.646,98.9,93.7,1999-2000
25,Seattle SuperSonics,45,37,0.549,99.1,98.1,1999-2000
26,Sacramento Kings,44,38,0.537,105.0,102.0,1999-2000
27,Golden State Warriors,19,63,0.232,95.5,103.8,1999-2000
28,Los Angeles Clippers,15,67,0.183,92.0,103.5,1999-2000
29,Philadelphia 76ers,56,26,0.683,94.7,90.4,2000-2001
30,Miami Heat,50,32,0.61,88.9,86.6,2000-2001
31,New York Knicks,48,34,0.585,88.7,86.1,2000-2001
32,Orlando Magic,43,39,0.524,97.5,96.5,2000-2001
33,Boston Celtics,36,46,0.439,94.6,96.8,2000-2001
34,New Jersey Nets,26,56,0.317,92.1,97.1,2000-2001
35,Washington Wizards,19,63,0.232,93.2,99.9,2000-2001
36,Milwaukee Bucks,52,30,0.634,100.7,96.9,2000-2001
37,Toronto Raptors,47,35,0.573,97.6,95.4,2000-2001
38,Charlotte Hornets,46,36,0.561,91.9,89.8,2000-2001
39,Indiana Pacers,41,41,0.5,92.6,92.8,2000-2001
