Year,Champion,Abbreviation
2018-2019,Toronto Raptors,TOR
2017-2018,Golden State Warriors,GSW
2016-2017,Golden State Warriors,GSW
2015-2016,Cleveland Cavaliers,CLE
2014-2015,Golden State Warriors,GSW
2013-2014,San Antonio Spurs,SAS
2012-2013,Miami Heat,MIA
2011-2012,Miami Heat,MIA
2010-2011,Dallas Mavericks,DAL
2009-2010,Los Angeles Lakers,LAL
2008-2009,Los Angeles Lakers,LAL
2007-2008,Boston Celtics,BOS
2006-2007,San Antonio Spurs,SAS
2005-2006,Miami Heat,MIA
2004-2005,San Antonio Spurs,SAS
2003-2004,Detroit Pistons,DET
2002-2003,San Antonio Spurs,SAS
2001-2002,Los Angeles Lakers,LAL
2000-2001,Los Angeles Lakers,LAL
1999-2000,Los Angeles Lakers,LAL
